thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[0.21851851851851853],[-0.45092592592592595],[1],[0],[0],[2.175695599988103],['target'],0,0,0,0,0.04439439997076988,,5,0.030223299749195576,0.04439439997076988,0.04439439997076988,0.029948600102216005,2.206586299929768,[0.21851851851851853],[-0.45092592592592595],[1],[0],[0],[2.175695599988103],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
1,0,1,[-0.3037037037037037],[0.05740740740740741],[1],[0],[0],[1.3005667002871633],['target'],1,0,1,0,2.2483286997303367,,10,2.2354653999209404,2.2483286997303367,2.2483286997303367,0.028614299837499857,3.5365078998729587,[-0.3037037037037037],[0.05740740740740741],[1],[0],[0],[1.3005667002871633],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
2,0,2,[-0.016666666666666666],[-0.34444444444444444],[1],[0],[0],[2.208916099742055],['target'],2,0,2,0,3.578075499739498,,10,3.56513229990378,3.578075499739498,3.578075499739498,0.02840870013460517,5.774496899917722,[-0.016666666666666666],[-0.34444444444444444],[1],[0],[0],[2.208916099742055],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
3,0,3,[-0.15462962962962962],[-0.06018518518518518],[1],[0],[0],[1.1318303002044559],['target'],3,0,3,0,5.8003655998036265,,5,5.791524899657816,5.8003655998036265,5.8003655998036265,0.016811999958008528,6.923763500060886,[-0.15462962962962962],[-0.06018518518518518],[1],[0],[0],[1.1318303002044559],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
4,0,4,[-0.4212962962962963],[0.04537037037037037],[1],[0],[0],[1.0376158999279141],['target'],4,0,4,0,6.969418100081384,,10,6.956469799857587,6.969418100081384,6.969418100081384,0.0325225000269711,7.994507999625057,[-0.4212962962962963],[0.04537037037037037],[1],[0],[0],[1.0376158999279141],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
5,0,5,[-0.2935185185185185],[0.2518518518518518],[1],[0],[0],[0.9191402997821569],['target'],5,0,5,0,8.017906500026584,,5,8.008607599884272,8.017906500026584,8.017906500026584,0.013874099589884281,8.928175000008196,[-0.2935185185185185],[0.2518518518518518],[1],[0],[0],[0.9191402997821569],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
6,0,6,[0.026851851851851852],[-0.29814814814814816],[1],[0],[0],[1.5761709003709257],['target'],6,0,6,0,8.968995799776167,,10,8.955537899862975,8.968995799776167,8.968995799776167,0.027227799873799086,10.532100399956107,[0.026851851851851852],[-0.29814814814814816],[1],[0],[0],[1.5761709003709257],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
7,0,7,[-0.3527777777777778],[-0.09259259259259259],[1],[0],[0],[0.9749598000198603],['target'],7,0,7,0,10.57524329982698,,10,10.560930999927223,10.57524329982698,10.57524329982698,0.028668500017374754,11.536696800030768,[-0.3527777777777778],[-0.09259259259259259],[1],[0],[0],[0.9749598000198603],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
8,0,8,[0.4527777777777778],[0.21666666666666667],[1],[0],[0],[1.6518447999842465],['target'],8,0,8,0,11.560556699987501,,5,11.551159299910069,11.560556699987501,11.560556699987501,0.014198299963027239,13.2034549000673,[0.4527777777777778],[0.21666666666666667],[1],[0],[0],[1.6518447999842465],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
9,0,9,[-0.28425925925925927],[0.26944444444444443],[1],[0],[0],[1.2510031000711024],['target'],9,0,9,0,13.227306299842894,,5,13.218262999784201,13.227306299842894,13.227306299842894,0.014670699834823608,14.469689900055528,[-0.28425925925925927],[0.26944444444444443],[1],[0],[0],[1.2510031000711024],['target'],03,001,2024-10-10_12h31.17.803,Visual Search,2024.2.1post4,59.746935815766605,2024-10-10 12h33.49.874365 +0530,
