thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.20277777777777778],[-0.040740740740740744],[1],[0],[0],[2.6141662001609802],['target'],0,0,0,0,0.0630947002209723,,10,0.045819600112736225,0.0630947002209723,0.0630947002209723,0.04550429992377758,2.66064770007506,[-0.20277777777777778],[-0.040740740740740744],[1],[0],[0],[2.6141662001609802],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
1,0,1,[0.16111111111111112],[-0.2074074074074074],[1],[0],[0],[1.1665178001858294],['target'],1,0,1,0,2.685685300268233,,5,2.6764127002097666,2.685685300268233,2.685685300268233,0.015598699916154146,3.8434460000135005,[0.16111111111111112],[-0.2074074074074074],[1],[0],[0],[1.1665178001858294],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
2,0,2,[-0.016666666666666666],[0.20555555555555555],[1],[0],[0],[1.5057243001647294],['target'],2,0,2,0,3.888794000260532,,10,3.8750978000462055,3.888794000260532,3.888794000260532,0.03144680010154843,5.381337699946016,[-0.016666666666666666],[0.20555555555555555],[1],[0],[0],[1.5057243001647294],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
3,0,3,[0.18333333333333332],[-0.27314814814814814],[1],[0],[0],[1.672945899888873],['target'],3,0,3,0,5.424301200080663,,10,5.411215700209141,5.424301200080663,5.424301200080663,0.029661800246685743,7.084556000307202,[0.18333333333333332],[-0.27314814814814814],[1],[0],[0],[1.672945899888873],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
4,0,4,[0.1638888888888889],[-0.24351851851851852],[1],[0],[0],[0.9865849004127085],['target'],4,0,4,0,7.108218600042164,,5,7.098393900319934,7.108218600042164,7.108218600042164,0.01367550017312169,8.085670500062406,[0.1638888888888889],[-0.24351851851851852],[1],[0],[0],[0.9865849004127085],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
5,0,5,[0.10925925925925926],[0.24814814814814815],[1],[0],[0],[1.6498019001446664],['target'],5,0,5,0,8.110376100055873,,5,8.101131900213659,8.110376100055873,8.110376100055873,0.015320800244808197,9.751354299951345,[0.10925925925925926],[0.24814814814814815],[1],[0],[0],[1.6498019001446664],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
6,0,6,[-0.2064814814814815],[0.49166666666666664],[1],[0],[0],[2.2652555997483432],['target'],6,0,6,0,9.778112899977714,,5,9.76927370019257,9.778112899977714,9.778112899977714,0.01774289971217513,12.034921500366181,[-0.2064814814814815],[0.49166666666666664],[1],[0],[0],[2.2652555997483432],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
7,0,7,[0.006481481481481481],[0.31203703703703706],[1],[0],[0],[1.0854333997704089],['target'],7,0,7,0,12.058274799957871,,5,12.049117600079626,12.058274799957871,12.058274799957871,0.014063999988138676,13.135046900250018,[0.006481481481481481],[0.31203703703703706],[1],[0],[0],[1.0854333997704089],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
8,0,8,[-0.125],[-0.22592592592592592],[1],[0],[0],[1.2856811000965536],['target'],8,0,8,0,13.159040000289679,,5,13.148748300038278,13.159040000289679,13.159040000289679,0.013582100160419941,14.434938400052488,[-0.125],[-0.22592592592592592],[1],[0],[0],[1.2856811000965536],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
9,0,9,[0.2740740740740741],[0.43703703703703706],[1],[0],[0],[1.7396979997865856],['target'],9,0,9,0,14.478274600114673,,10,14.465210000053048,14.478274600114673,14.478274600114673,0.03006190015003085,16.20540860015899,[0.2740740740740741],[0.43703703703703706],[1],[0],[0],[1.7396979997865856],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
10,0,10,"[-0.30925925925925923, -0.3425925925925926]","[0.23981481481481481, 0.25833333333333336]","[1, 1]","[0, 0]","[0, 0]","[1.3342281999066472, 1.9673202000558376]","[None, 'target']",10,0,10,0,16.229606000240892,,5,16.221008200198412,16.229606000240892,16.229606000240892,0.015317199751734734,18.1887419000268,"[-0.30925925925925923, -0.3425925925925926]","[0.23981481481481481, 0.25833333333333336]","[1, 1]","[0, 0]","[0, 0]","[1.3342281999066472, 1.9673202000558376]","[None, 'target']",04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
11,0,11,"[-0.21203703703703702, -0.1675925925925926]","[0.24537037037037038, 0.25277777777777777]","[1, 1]","[0, 0]","[0, 0]","[0.976893899962306, 1.609522799961269]","[None, 'target']",11,0,11,0,18.230504600331187,,10,18.21624520001933,18.230504600331187,18.230504600331187,0.02733819978311658,19.82623860007152,"[-0.21203703703703702, -0.1675925925925926]","[0.24537037037037038, 0.25277777777777777]","[1, 1]","[0, 0]","[0, 0]","[0.976893899962306, 1.609522799961269]","[None, 'target']",04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
12,0,12,[0.12685185185185185],[-0.19814814814814816],[1],[0],[0],[1.7915898999199271],['target'],12,0,12,0,19.867601100355387,,10,19.854585400316864,19.867601100355387,19.867601100355387,0.02810780005529523,21.646651100367308,[0.12685185185185185],[-0.19814814814814816],[1],[0],[0],[1.7915898999199271],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
13,0,13,[0.017592592592592594],[0.4222222222222222],[1],[0],[0],[1.5552280996926129],['target'],13,0,13,0,21.693449400365353,,10,21.67939450033009,21.693449400365353,21.693449400365353,0.03258210001513362,23.23508770018816,[0.017592592592592594],[0.4222222222222222],[1],[0],[0],[1.5552280996926129],['target'],04,001,2024-10-10_12h40.11.041,Visual Search,2024.2.1post4,59.880813269782955,2024-10-10 12h40.24.749319 +0530,
