thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
0,0,0,[-0.21],[0.28833333333333333],[1],[0],[0],[4.165418299846351],['target'],0,0,0,0,0.06809510011225939,,10,0.05396289983764291,0.06809510011225939,0.06809510011225939,0.0536591000854969,4.219801499973983,[-0.21],[0.28833333333333333],[1],[0],[0],[4.165418299846351],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
1,0,1,[-0.26166666666666666],[0.08166666666666667],[1],[0],[0],[1.1027060998603702],['target'],1,0,1,0,4.248201999813318,,5,4.2344602001830935,4.248201999813318,4.248201999813318,0.014482300262898207,5.337605000007898,[-0.26166666666666666],[0.08166666666666667],[1],[0],[0],[1.1027060998603702],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
2,0,2,[-0.48833333333333334],[-0.11166666666666666],[1],[0],[0],[1.266594999935478],['target'],2,0,2,0,5.364791399799287,,5,5.353144099935889,5.364791399799287,5.364791399799287,0.015413600020110607,6.620217800140381,[-0.48833333333333334],[-0.11166666666666666],[1],[0],[0],[1.266594999935478],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
3,0,3,[0.19666666666666666],[0.35833333333333334],[1],[0],[0],[1.1163192000240088],[None],3,0,3,0,6.648005200084299,,5,6.6353878998197615,6.648005200084299,6.648005200084299,0.015033000148832798,7.7521184999495745,[0.19666666666666666],[0.35833333333333334],[1],[0],[0],[1.1163192000240088],[None],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
4,0,4,[0.36333333333333334],[0.28],[1],[0],[0],[1.9524226002395153],['target'],4,0,4,0,7.782184099778533,,5,7.7671679998748,7.782184099778533,7.782184099778533,0.014918100088834763,9.720058599952608,[0.36333333333333334],[0.28],[1],[0],[0],[1.9524226002395153],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
5,0,5,[-0.19],[0.17166666666666666],[1],[0],[0],[1.1666585002094507],['target'],5,0,5,0,9.764345900155604,,10,9.752026800066233,9.764345900155604,9.764345900155604,0.03183199977502227,10.919099499937147,[-0.19],[0.17166666666666666],[1],[0],[0],[1.1666585002094507],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
6,0,6,[-0.08333333333333333],[0.24833333333333332],[1],[0],[0],[1.0191267002373934],['target'],6,0,6,0,10.962181000038981,,10,10.94978340016678,10.962181000038981,10.962181000038981,0.030457499902695417,11.969374800100923,[-0.08333333333333333],[0.24833333333333332],[1],[0],[0],[1.0191267002373934],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
7,0,7,[0.41833333333333333],[0.21666666666666667],[1],[0],[0],[1.2946194997057319],['target'],7,0,7,0,12.022921599913388,,10,12.00894120009616,12.022921599913388,12.022921599913388,0.03931679995730519,13.304020300041884,[0.41833333333333333],[0.21666666666666667],[1],[0],[0],[1.2946194997057319],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
8,0,8,[-0.23],[0.4633333333333333],[1],[0],[0],[2.918534600175917],['target'],8,0,8,0,13.351642400026321,,10,13.334873199928552,13.351642400026321,13.351642400026321,0.030749599914997816,16.25383449997753,[-0.23],[0.4633333333333333],[1],[0],[0],[2.918534600175917],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
9,0,9,[0.405],[0.021666666666666667],[1],[0],[0],[1.7840909999795258],['target'],9,0,9,0,16.281426900066435,,5,16.2683557998389,16.281426900066435,16.281426900066435,0.014356900006532669,18.052929599769413,[0.405],[0.021666666666666667],[1],[0],[0],[1.7840909999795258],['target'],01,001,2024-10-10_11h43.45.220,Visual Search,2024.2.1post4,59.72762997644077,2024-10-10 11h43.57.971987 +0530,
