thisN,thisTrialN,thisRepN,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,num_distr,trial.started,fixation.started,target.started,mouse.started,trial.stopped,trials.mouse.x,trials.mouse.y,trials.mouse.leftButton,trials.mouse.midButton,trials.mouse.rightButton,trials.mouse.time,trials.mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
10,0,10,[-0.41388888888888886],[-0.06759259259259259],[1],[0],[0],[1.5011422000825405],['target'],10,0,10,0,19.211647000163794,,5,19.202528499998152,19.211647000163794,19.211647000163794,0.014494699891656637,20.704217200167477,[-0.41388888888888886],[-0.06759259259259259],[1],[0],[0],[1.5011422000825405],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
11,0,11,[-0.2972222222222222],[-0.2611111111111111],[1],[0],[0],[1.3100722995586693],['target'],11,0,11,0,20.744568900205195,,10,20.731098300311714,20.744568900205195,20.744568900205195,0.02673020027577877,22.041586000006646,[-0.2972222222222222],[-0.2611111111111111],[1],[0],[0],[1.3100722995586693],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
12,0,12,[-0.049074074074074076],[0.2074074074074074],[1],[0],[0],[2.8910038000904024],['target'],12,0,12,0,22.084043400362134,,10,22.07121520023793,22.084043400362134,22.084043400362134,0.029464300256222486,24.96262940019369,[-0.049074074074074076],[0.2074074074074074],[1],[0],[0],[2.8910038000904024],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
13,0,13,[-0.40370370370370373],[-0.2740740740740741],[1],[0],[0],[1.5009449999779463],['target'],13,0,13,0,24.98636950040236,,5,24.977746000047773,24.98636950040236,24.98636950040236,0.014941099565476179,26.479092500172555,[-0.40370370370370373],[-0.2740740740740741],[1],[0],[0],[1.5009449999779463],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
14,0,14,[0.43796296296296294],[0.0712962962962963],[1],[0],[0],[1.5843295003287494],['target'],14,0,14,0,26.503028200007975,,5,26.493832900188863,26.503028200007975,26.503028200007975,0.014553999993950129,28.0785950999707,[0.43796296296296294],[0.0712962962962963],[1],[0],[0],[1.5843295003287494],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
15,0,15,[-0.2722222222222222],[0.46944444444444444],[1],[0],[0],[4.292279799934477],['target'],15,0,15,0,28.12023670040071,,10,28.10689220018685,28.12023670040071,28.12023670040071,0.0281660002656281,32.39961330033839,[-0.2722222222222222],[0.46944444444444444],[1],[0],[0],[4.292279799934477],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
16,0,16,[0.05740740740740741],[-0.31574074074074077],[1],[0],[0],[1.818533199839294],['target'],16,0,16,0,32.422918000258505,,5,32.4142196001485,32.422918000258505,32.422918000258505,0.014445899985730648,34.233216300141066,[0.05740740740740741],[-0.31574074074074077],[1],[0],[0],[1.818533199839294],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
17,0,17,[0.03796296296296296],[0.4787037037037037],[1],[0],[0],[2.190848699770868],['target'],17,0,17,0,34.2755007003434,,10,34.262431600131094,34.2755007003434,34.2755007003434,0.029076100327074528,36.4538759002462,[0.03796296296296296],[0.4787037037037037],[1],[0],[0],[2.190848699770868],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
18,0,18,[-0.0787037037037037],[-0.45555555555555555],[1],[0],[0],[1.9001325001008809],['target'],18,0,18,0,36.4845676003024,,5,36.471919800154865,36.4845676003024,36.4845676003024,0.01782230008393526,38.37248679995537,[-0.0787037037037037],[-0.45555555555555555],[1],[0],[0],[1.9001325001008809],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
19,0,19,[-0.387037037037037],[-0.2675925925925926],[1],[0],[0],[1.948617999907583],['target'],19,0,19,0,38.398730700369924,,5,38.38927370030433,38.398730700369924,38.398730700369924,0.016665100120007992,40.33837400004268,[-0.387037037037037],[-0.2675925925925926],[1],[0],[0],[1.948617999907583],['target'],02,001,2024-10-10_12h20.58.278,Visual Search,2024.2.1post4,60.076693805900796,2024-10-10 12h21.07.164025 +0530,
